A
1000 Generated by WorldEditor

1    106 0 0 WAPO Larat
100 22.86 1 0 1.50 0 0 0 09 -07.12780542  131.76361642    0    0 1 0 0 0 27 -07.12857139  131.77085151    0    0 1 0 0 0
110 2 1.20 96.0900 New Taxiway 70
111 -07.12706259  131.76756281
111 -07.12689446  131.76756977
111 -07.12689446  131.76754114
113 -07.12705989  131.76753307
110 1 1.20 96.0900 New Taxiway 69
111 -07.12820599  131.76723536
112 -07.12810937  131.76738353 -07.12807156  131.76734966
111 -07.12797704  131.76731580
112 -07.12751706  131.76734332 -07.12743725  131.76735390
111 -07.12741625  131.76745550
111 -07.12743935  131.76775819
111 -07.12708229  131.76777936
111 -07.12706259  131.76756281
111 -07.12705989  131.76753307
111 -07.12703398  131.76724806
112 -07.12793820  131.76717273 -07.12800242  131.76716399
113 -07.12807706  131.76707652
14 -07.12698567  131.76749572   6.56 0 New Tower Viewpoint 60
1300 -07.12714740  131.76767141 271.28 gate turboprops|props New Ramp Start 58
19 -07.12776491  131.76762907 0 New Windsock 59
99
