A
1000 Generated by WorldEditor

1     39 0 0 LNQ Loani
100 24.38 3 0 0.30 0 0 0 05 -10.43488745  150.14107216    0    0 0 0 0 0 23 -10.42984455  150.14619984    0    0 0 0 0 0
110 3 0.25 313.7300 xxx
111 -10.43423455  150.14179215
111 -10.43361263  150.14113110
111 -10.43374345  150.14100385
113 -10.43436537  150.14166490
110 3 0.25 221.5800 xxx
111 -10.43261402  150.14180844
111 -10.43363994  150.14088293
111 -10.43382198  150.14109156
113 -10.43279606  150.14201707
14 -10.43283300  150.14172800   6.00 0 Tower Viewpoint
15 -10.43303500  150.14149100 180.00 Custom Startup Location
19 -10.43320800  150.14191400 0 Windsock
50 12770 MIS AWOS
99
